"DISC_ID","NAME","ISBN","ISSN","PUBLISHER_ID","PUB_YEAR","PUB_CITY","OLD_ID","PARALLEL_TITLE","PUB_INFO","ISSUE_NUMBER","ISSUE_DATE","LANGUAGE","TYPE"
841,"Қазақстан Республикасында азаматтық қоғамның қалыптасуы: теориялық-құқықтық мәселелері","","",,2012,"Алматы",,"","",,,"","CF"
859,"Правовые основы института чрезвычайного положения в РК","","",,2014,"Алматы",,"","",,,"","CF"
860,"Statistics","","",,2006,"Almaty",,"","",,,"","CF"
861,"Statistics","","",,2009,"Almaty",,"","",,,"","CF"
862,"Human Resource Management","9965792038","",,2009,"Almaty",,"","",,,"","CF"
863,"Family and Friends 4","9780194802772","",,2010,"UK",,"","",,,"","CF"
864,"Family and Friends 3","9780194812306","",,2009,"UK",,"","",,,"","CF"
865,"Әліппе","","",,2013,"Алматы",,"","",,,"","CF"
866,"Принудительное административное восстановление: генезис, социальное и правовое содержание","","",,2008,"Алматы",,"","",,,"","CF"
867,"Қазақстан Республикасының қылмыстық іс жүргізу құқығы бойынша практикум","9965830215","",,2011,"Алматы",,"","",,,"","CF"
868,"Административная ответственность в РК: конституционно-правовые проблемы","","",,2012,"Алматы",,"","",,,"","CF"
869,"Уголовно-процессуальное право РК","","",,2011,"Алматы",,"","",,,"","CF"
870,"Гражданское право Том 2","9789965830167","",,2011,"Алматы",,"","",,,"","CF"
871,"Сынталқы","","",,2005,"Алматы",,"","",,,"","CF"
872,"Очерки по национальной концептологии","","",,2012,"Алматы",,"","",,,"","CF"
873,"Қазақ-орыс қостілділігіндегі интеркаляция көрінісі","","",,2014,"Алматы",,"","",,,"","CF"
874,"Кәсіби қазақ тілі","","",,2012,"Алматы",,"","",,,"","CF"
875,"Анализ и оценка эффективности инновационно-инвестиционных проектов","","",,2012,"Алматы",,"","",,,"","CF"
876,"Трактат о Сайраме","","",,2007,"Астана",,"","",,,"","CF"
877,"Calculus and Analytic Geometry","","",,2005,"Алматы",,"","",,,"","CF"
878,"Infotech English for computer users","9780521703017","",,2008,"New York",,"","",,,"","CF"
879,"A brief look at C++","","",,,"",,"","",,,"","CF"
880,"Қазақстан Республикасының құқық қорғау органдары","9789965813900","",,2010,"Алматы",,"","",,,"","CF"
881,"Азаматтық құқық. Том 1","","",,2012,"Алматы",,"","",,,"","CF"
882,"Теория государства и права","","",,2013,"Алматы",,"","",,,"","CF"
883,"Мұхаммед Хайдар Дулати","","",,2007,"Алматы",,"","",,,"","CF"
884,"Әдебиет айдынында","","",,2009,"Алматы",,"","",,,"","CF"
885,"Практикалық қазақ тілі","","",,2014,"Алматы",,"","",,,"","CF"
886,"Парсы шығанағындағы араб монархияларының саяси процестері","","",,2006,"Алматы",,"","",,,"","CF"
887,"Ағылшын тілінің грамматикасы","9965792674","",,2013,"Алматы",,"","",,,"","CF"
888,"Қазақстан Республикасындағы адам құқықтарының ахуалы туралы баяндама 2012 жыл","","",,2012,"Алматы",,"","",,,"","CF"
889,"Мемлекеттік Тілді жеделдетіп оқыту","","",,2005,"Астана",,"","",,,"","CF"
890,"Ұлттық құндылықтарға негізделген қазақ тілі (Практикалық қазақ тілі)","9786017537166","",,2016,"Алматы",,"","",,,"","CF"
842,"Азамат қозғалысы және Қазақстанның саяси- пікірінің тарихы","","",,2009,"Алматы",,"","",,,"","CF"
843,"Introduction to Philosophy","","",,2006,"Almaty",,"","",,,"","CF"
844,"Ethnopedagogy","9965792534","",,2011,"Алматы",,"","",,,"","CF"
845,"Кестелі қазақ тілі","","",,,"Алматы",,"","",,,"","CF"
846,"Қазақстан Республикасындағы мигранттар құқығының ахуалы туралы","","",,2013,"Алматы",,"","",,,"","CF"
847,"Шұғаның белгісі","9786012003345","",,2011,"Алматы",,"","",,,"","CF"
848,"Гражданское право. Том 1","9789965813931","",,2011,"Алматы",,"","",,,"","CF"
849,"Ілеспе аударма негіздері","","",,2012,"Алматы",,"","",,,"","CF"
850,"Әдебиет өрнектері","","",,1996,"Алматы",,"","",,,"","CF"
851,"Актуальные проблемы лингвокогнитологии и лингвокультурологии","","",,2013,"Алматы",,"","",,,"","CF"
852,"Әдебиет алыптары","","",,2004,"Астана",,"","",,,"","CF"
853,"Сын жанрлары","","",,1999,"Алматы",,"","",,,"","CF"
854,"Араб монархиялары мемлекеттілігінің қалыптасу және даму ерекшеліктері","","",,2005,"Алматы",,"","",,,"","CF"
855,"Calculus and analytic geometry","","",,2006,"Алматы",,"","",,,"","CF"
856,"Орта ғасыр қыпшақ жазба ескерткіштерінің тілі","","",,2010,"Шымкент",,"","",,,"","CF"
857,"Әдебиет танытқыштың теориялық негізі","","",,2008,"Алматы",,"","",,,"","CF"
858,"Педагогикалық мамандыққа кіріспе","","",,2009,"Алматы",,"","",,,"","CF"
894,"la","15","",15781,,"",,"","",,,"","MU"
