"LOG_ID","USER_ID","LOGIN_STATUS","LOG_DATE","USER_IP","DEVICE_INFO"
116,"T170901",1,10-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4407.0 Safari/537.36 Edg/90.0.789.1"
50,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
55,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
56,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
57,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
58,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
62,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
63,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
64,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
65,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
66,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
67,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
68,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
69,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
70,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
71,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
72,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
74,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
75,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
76,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
80,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
81,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
82,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
83,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
85,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
86,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
105,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
106,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
113,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
114,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
4,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
6,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
22,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
59,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
60,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
61,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
78,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
79,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
87,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
88,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
89,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
90,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
91,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
92,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
93,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
95,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
96,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
97,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
99,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
100,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
104,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
107,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
108,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
109,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
110,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
111,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
112,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
115,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
117,"T170901",1,15-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4407.0 Safari/537.36 Edg/90.0.789.1"
2,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
7,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
8,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
9,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
37,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
44,"P18I016",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
45,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
51,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
52,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
77,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
94,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
98,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
3,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
16,"T181285",1,29-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
18,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
19,"T181285",0,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
20,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
21,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
23,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
26,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
29,"P18I016",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
30,"P18I016",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
32,"P18I016",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
34,"T181285",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
35,"P18I016",1,30-JAN-21,"127.0.0.1","PostmanRuntime/7.26.8"
38,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
39,"T181285",1,06-FEB-21,"127.0.0.1","PostmanRuntime/7.26.8"
53,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
54,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
101,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
102,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
103,"T170901",1,09-FEB-21,"127.0.0.1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4400.0 Safari/537.36 Edg/90.0.782.0"
